Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,4,0,3,Re-Export,498,Rep. of Moldova,MDA,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,6358,,6358,,650,,,0
H3,2010,2010,2010,4,0,1,Import,499,Montenegro,MNE,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,1014,,1014,,854,,,0
H3,2010,2010,2010,4,0,2,Export,499,Montenegro,MNE,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,327387,,327387,,102749,,,0
H3,2010,2010,2010,4,0,1,Import,516,Namibia,NAM,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,19554,,19554,,31155,,,0
H3,2010,2010,2010,4,0,2,Export,516,Namibia,NAM,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,1563684,,1563684,,548023,,,0
H3,2010,2010,2010,4,0,1,Import,524,Nepal,NPL,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,768,,768,,1510,,,0
H3,2010,2010,2010,4,0,1,Import,528,Netherlands,NLD,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,295928300,,295928300,,126713016,,,0
H3,2010,2010,2010,4,0,2,Export,528,Netherlands,NLD,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,361136602,,361136602,,172070681,,,0
H3,2010,2010,2010,4,0,1,Import,533,Aruba,ABW,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,412,,412,,3828,,,0
H3,2010,2010,2010,4,0,1,Import,540,New Caledonia,NCL,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,123,,123,,1177,,,0
H3,2010,2010,2010,4,0,2,Export,540,New Caledonia,NCL,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,160297,,160297,,17526,,,0
H3,2010,2010,2010,4,0,1,Import,554,New Zealand,NZL,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,5000236,,5000236,,4200682,,,0
H3,2010,2010,2010,4,0,2,Export,554,New Zealand,NZL,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,39419938,,39419938,,15003185,,,0
H3,2010,2010,2010,4,0,3,Re-Export,554,New Zealand,NZL,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,137890,,137890,,52530,,,0
H3,2010,2010,2010,4,0,4,Re-Import,554,New Zealand,NZL,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,39732,,39732,,60262,,,0
H3,2010,2010,2010,4,0,1,Import,558,Nicaragua,NIC,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,658938,,658938,,428631,,,0
H3,2010,2010,2010,4,0,2,Export,558,Nicaragua,NIC,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,5241090,,5241090,,1928924,,,0
H3,2010,2010,2010,4,0,2,Export,562,Niger,NER,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,47575,,47575,,1581,,,0
H3,2010,2010,2010,4,0,1,Import,566,Nigeria,NGA,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,13622700,,13622700,,52184401,,,0
H3,2010,2010,2010,4,0,2,Export,566,Nigeria,NGA,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,63800,,63800,,63537,,,0
H3,2010,2010,2010,4,0,1,Import,579,Norway,NOR,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,5433327,,5433327,,846474,,,0
H3,2010,2010,2010,4,0,2,Export,579,Norway,NOR,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,33425378,,33425378,,11874462,,,0
H3,2010,2010,2010,4,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,48064745,,48064745,,19385780,,,0
H3,2010,2010,2010,4,0,2,Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,35255425,,35255425,,22153028,,,0
H3,2010,2010,2010,4,0,1,Import,591,Panama,PAN,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,317879,,317879,,555534,,,0
H3,2010,2010,2010,4,0,2,Export,591,Panama,PAN,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,4431449,,4431449,,841644,,,0
